  Title : TRcurve_10mm_SDS_750nm_30secInt_20mlIL_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 11:59:37
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
4.263115 57
4.269222 44
4.275330 46
4.281437 50
4.287545 68
4.293653 55
4.299760 58
4.305868 64
4.311975 58
4.318083 57
4.324191 52
4.330298 41
4.336406 58
4.342514 44
4.348621 50
4.354729 59
4.360836 55
4.366944 50
4.373052 63
4.379159 36
4.385267 44
4.391374 64
4.397482 47
4.403590 39
4.409697 51
4.415805 38
4.421913 52
4.428020 53
4.434128 63
4.440235 59
4.446343 49
4.452451 58
4.458558 65
4.464666 55
4.470773 51
4.476881 58
4.482989 58
4.489096 43
4.495204 58
4.501312 52
4.507419 53
4.513527 54
4.519634 52
4.525742 48
4.531850 63
4.537957 49
4.544065 61
4.550172 46
4.556280 56
4.562388 49
4.568495 34
4.574603 50
4.580710 59
4.586818 51
4.592926 45
4.599033 46
4.605141 42
4.611249 59
4.617356 49
4.623464 44
4.629571 48
4.635679 40
4.641787 50
4.647894 33
4.654002 40
4.660109 58
4.666217 48
4.672325 43
4.678432 57
4.684540 59
4.690648 66
4.696755 40
4.702863 50
4.708970 53
4.715078 45
4.721186 41
4.727293 36
4.733401 36
4.739508 47
4.745616 32
4.751724 56
4.757831 51
4.763939 46
4.770047 46
4.776154 44
4.782262 64
4.788369 33
4.794477 48
4.800585 53
4.806692 51
4.812800 37
4.818907 56
4.825015 60
4.831123 56
4.837230 41
4.843338 47
4.849446 41
4.855553 45
4.861661 53
4.867768 48
4.873876 45
4.879984 54
4.886091 29
4.892199 64
4.898306 47
4.904414 41
4.910522 42
4.916629 50
4.922737 28
4.928844 48
4.934952 53
4.941060 46
4.947167 57
4.953275 52
4.959383 44
4.965490 36
4.971598 42
4.977705 40
4.983813 42
4.989921 39
4.996028 45
5.002136 61
5.008243 44
5.014351 44
5.020459 54
5.026566 50
5.032674 42
5.038782 39
5.044889 49
5.050997 42
5.057104 52
5.063212 39
5.069320 55
5.075427 40
5.081535 53
5.087642 43
5.093750 43
5.099858 46
5.105965 39
5.112073 36
5.118181 47
5.124288 42
5.130396 52
5.136503 37
5.142611 40
5.148719 37
5.154826 47
5.160934 38
5.167041 42
5.173149 45
5.179257 39
5.185364 44
5.191472 37
5.197579 45
5.203687 58
5.209795 44
5.215902 51
5.222010 47
5.228118 40
5.234225 43
5.240333 52
5.246440 42
5.252548 47
5.258656 30
5.264763 30
5.270871 39
5.276978 35
5.283086 37
5.289194 54
5.295301 37
5.301409 37
5.307517 48
