  Title : TRcurve_10mm_SDS_750nm_10secInt_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-10-11
  Time : 09:24:17
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
4.482989 48
4.489096 49
4.495204 56
4.501312 46
4.507419 42
4.513527 28
4.519634 42
4.525742 37
4.531850 33
4.537957 45
4.544065 31
4.550172 33
4.556280 43
4.562388 40
4.568495 32
4.574603 40
4.580710 26
4.586818 31
4.592926 40
4.599033 32
4.605141 42
4.611249 36
4.617356 30
4.623464 19
4.629571 42
4.635679 34
4.641787 35
4.647894 19
4.654002 34
4.660109 34
4.666217 39
4.672325 28
4.678432 32
4.684540 23
4.690648 19
4.696755 28
4.702863 27
4.708970 30
4.715078 17
4.721186 28
4.727293 26
4.733401 27
4.739508 25
4.745616 32
4.751724 28
4.757831 22
4.763939 25
4.770047 34
4.776154 22
4.782262 19
4.788369 12
4.794477 23
4.800585 25
4.806692 26
4.812800 19
4.818907 19
4.825015 24
4.831123 25
4.837230 15
4.843338 23
4.849446 15
4.855553 27
4.861661 18
4.867768 19
4.873876 23
4.879984 25
4.886091 21
4.892199 18
4.898306 12
4.904414 20
4.910522 21
4.916629 18
4.922737 14
4.928844 26
4.934952 22
4.941060 16
4.947167 12
4.953275 20
4.959383 26
4.965490 19
4.971598 17
4.977705 16
4.983813 23
4.989921 11
4.996028 18
5.002136 15
5.008243 15
5.014351 8
5.020459 16
5.026566 10
5.032674 14
5.038782 8
5.044889 11
5.050997 13
5.057104 10
5.063212 18
5.069320 18
5.075427 22
5.081535 17
5.087642 18
5.093750 11
5.099858 13
5.105965 8
5.112073 14
5.118181 19
5.124288 14
5.130396 21
5.136503 21
5.142611 18
5.148719 15
5.154826 9
5.160934 19
5.167041 14
5.173149 11
5.179257 11
5.185364 14
5.191472 10
5.197579 11
5.203687 17
5.209795 17
5.215902 10
5.222010 21
5.228118 14
5.234225 18
5.240333 9
5.246440 21
5.252548 7
5.258656 17
5.264763 8
5.270871 16
5.276978 6
5.283086 16
5.289194 15
5.295301 18
5.301409 9
5.307517 9
5.313624 6
5.319732 17
5.325839 18
5.331947 16
5.338055 11
5.344162 19
5.350270 15
5.356377 16
5.362485 13
5.368593 20
5.374700 13
5.380808 12
5.386916 16
5.393023 8
5.399131 14
5.405238 13
5.411346 18
5.417454 12
5.423561 12
5.429669 11
5.435776 13
5.441884 12
5.447992 10
5.454099 9
5.460207 14
5.466315 18
5.472422 11
5.478530 12
5.484637 14
5.490745 15
5.496853 10
5.502960 15
5.509068 15
5.515175 10
5.521283 17
5.527391 10
5.533498 11
5.539606 6
5.545713 14
5.551821 12
5.557929 8
5.564036 16
5.570144 9
5.576252 12
5.582359 11
5.588467 17
5.594574 14
5.600682 11
5.606790 14
5.612897 12
5.619005 12
5.625112 14
5.631220 11
5.637328 13
5.643435 10
5.649543 20
5.655651 15
5.661758 13
5.667866 8
5.673973 10
5.680081 15
5.686189 8
5.692296 8
5.698404 13
5.704511 15
5.710619 14
5.716727 9
5.722834 12
5.728942 11
5.735050 8
5.741157 12
5.747265 13
5.753372 11
5.759480 13
5.765588 12
5.771695 4
5.777803 8
5.783910 7
5.790018 15
5.796126 9
5.802233 13
5.808341 7
5.814449 12
5.820556 11
5.826664 13
5.832771 10
5.838879 9
5.844987 6
5.851094 20
5.857202 14
5.863309 8
5.869417 7
5.875525 4
5.881632 12
5.887740 13
5.893847 12
5.899955 12
5.906063 11
5.912170 5
5.918278 11
5.924386 5
5.930493 21
5.936601 11
5.942708 14
5.948816 11
5.954924 8
5.961031 13
5.967139 12
5.973246 13
5.979354 14
5.985462 12
5.991569 12
5.997677 10
6.003785 9
